Place of interest,Place address,BiciMAD station,Station location,Bikes_available
Colegio Montpellier,Calle Virgen Del Val 7,Derechos Humanos,Calle Derechos Humanos nº 12,6
Colegio Montserrat,Calle Jose Martinez De Velasco 1,Sainz de Baranda,Calle Doctor Esquerdo nº 99,20
Colegio Natividad de Nuestra Señora,Calle Martinez Izquierdo 8,Avenida de los Toreros,Avenida de los Toreros nº 3,4
Colegio Nazaret,Calle Castillo De Ucles 24,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Nazaret - Oporto,Calle Clarisas 4,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Nebrija Rosales,Calle Carlos Domingo 10,Caramuel,Calle Caramuel nº 51,5
Colegio Nervión,Calle Nervion 2,Plaza de la República Argentina,Plaza de la República Argentina nº 6,5
Colegio Nuestra Señora de Fátima. Calle Alcalá,Calle Alcala 292,José María Pereda,Calle José María de Pereda nº 1,19
Colegio Nuestra Señora de Fátima. Calle Manuel Muñoz,Calle Manuel Muñoz 30,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Nuestra Señora de Gracia,Paseo Gigantes Y Cabezudos 12,Embajadores 191,Calle Sodio nº 1B,11
Colegio Nuestra Señora de Loreto - Real Colegio,Calle O'Donell 61,Jorge Juan,Calle Jorge Juan nº 131,8
Colegio Nuestra Señora de Loreto. Calle General Aranaz,Calle General Aranaz 66,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Nuestra Señora de Loreto. Calle Príncipe de Vergara,Calle Principe De Vergara 42,General Pardiñas,Calle General Pardiñas nº 56,6
Colegio Nuestra Señora de Moratalaz,Avenida Moratalaz 91,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Colegio Nuestra Señora de Santa María,Ronda Sobradiel 80,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Nuestra Señora de la Consolación,Plaza Madre Molas 2,López Pozas,Calle General López Pozas nº 2,5
Colegio Nuestra Señora de la Estrella,Calle Crucero Baleares 1,Sierra Toledana,Camino de Valderribas nº 94,19
Colegio Nuestra Señora de la Merced. Avenida Alfonso XIII,Avenida Alfonso Xiii 165,Pío XII,Avenida Pío XII nº 3,17
Colegio Nuestra Señora de la Merced. Calle José Luis Arrese,Calle Jose Luis De Arrese 5,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,15
Colegio Nuestra Señora de la Merced. Calle Zaida,Calle Zaida 87 Otra Entrada Por C/ Jose Garrido 10,Caramuel,Calle Caramuel nº 51,5
Colegio Nuestra Señora de la Paz,Calle Valderribas 37,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,17
Colegio Nuestra Señora de la Providencia,Calle Monederos 2,Antonio López,Calle Eugenio Caxes frente al nº 12,18
Colegio Nuestra Señora de la Vega,Calle Chantada 28,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Nuestra Señora de las Delicias,Paseo Delicias 67,Paseo de las Delicias,Paseo de las Delicias nº 92,7
Colegio Nuestra Señora de las Escuelas Pias. Calle Eugenia de Montijo,Calle Eugenia De Montijo 83,Caramuel,Calle Caramuel nº 51,5
Colegio Nuestra Señora de las Escuelas Pias. Calle Ocaña,Calle Ocaña 191,Caramuel,Calle Caramuel nº 51,5
Colegio Nuestra Señora de las Maravillas,Calle Guadalquivir 9,Plaza de la República Argentina,Plaza de la República Argentina nº 6,5
Colegio Nuestra Señora de las Nieves,Calle Alcala 589,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Nuestra Señora de las Victorias,Calle Apostol Santiago 72,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,18
Colegio Nuestra Señora de los Dolores,Calle Tordo 15,Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Colegio Nuestra Señora de los Ángeles,Calle La Cancion Del Olvido 55,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Nuestra Señora del Buen Consejo. Calle Juan Montalvo,Calle Juan Montalvo 30,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Nuestra Señora del Buen Consejo. Calle Ábalos,Calle Abalos 5,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Colegio Nuestra Señora del Carmen,Avenida Real De Pinto 41,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Nuestra Señora del Pilar. Calle Castelló,Calle Castello 56,Marqués de Salamanca,Calle José Ortega y Gasset nº 30,10
Colegio Nuestra Señora del Pilar. Calle San Benito,Calle San Benito 6,Plaza de Castilla,Paseo de la Castellana nº 216,4
Colegio Nuestra Señora del Pilar. Calle Sanchez Preciados,Calle Sanchez Preciados 62,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Nuestra Señora del Recuerdo,Plaza Duque De Pastrana 5,Chamartín,Calle Rodríguez Jaén nº 40,7
Colegio Nuestra Señora del Sagrado Corazón,Calle Grandeza Espa&Amp;Ntilde;Ola 89,Caramuel,Calle Caramuel nº 51,5
Colegio Nueva Castilla,Calle Mazateron 12,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Nuevo Equipo,Calle Lopez De Aranda 5,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Nuevo Velázquez,Calle Rosa Jardon 9,Pío XII,Avenida Pío XII nº 3,17
Colegio Obispo Perelló,Calle Virgen Del Sagrario 22,C.D. Concepción,Calle Jose del Hierro nº 5,19
Colegio Obra Social Nuestra Señora de Montserrat - San Simón y San Judas,Calle Trevelez 3,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Padre Piquer,Calle Cañaveral 96,Torre Cepsa,Calle Sinesio Delgado nº 2,11
Colegio Paraíso Sagrados Corazones,Calle Padre Damian 34,Alberto Alcocer,Avenida de Alberto Alcocer nº 22,13
Colegio Parque Conde de Orgaz,Calle Gregorio Benitez 25,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Patrocinio de María,"Calle Umbria 31 Tambien C/ Julian Hernandez, 14",Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Patrocinio de San José,Calle Edgar Neville 24,Orense 12,Calle Orense nº 12,1
Colegio Pedagogía Waldorf de Aravaca,Calle Zenit 10,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Pureza de María,Calle Lira 10,Niño Jesús,Calle Doctor Esquerdo nº 161,6
Colegio Purísima Concepción,Calle Puebla 20,Carlos Cambronero,Plaza de Carlos Cambronero nº 2,22
Colegio Público Adolfo Suárez,Calle Infanta Catalina Micaela 31,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Público Agustina Díez,Calle Vesubio 5,Sierra Toledana,Camino de Valderribas nº 94,19
Colegio Público Agustín Rodriguez Sahagún,Calle La Granja De San Ildefonso 17,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Alberto Alcocer,Avenida Canillejas A Vicalvaro 56,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Alcalde de Móstoles,Calle Aldeanueva De La Vera 9,Caramuel,Calle Caramuel nº 51,5
Colegio Público Alfonso X El Sabio,Calle Fuente De San Pedro 6,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Alfredo di Stefano,Calle Felix Candela 4,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Alhambra,Calle Ramon Gomez De La Serna 103,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Público Amadeo Vives,Calle Los Yebenes 6,Caramuel,Calle Caramuel nº 51,5
Colegio Público Amador de los Ríos,Paseo Marques De Zafra 16,Marqués de Zafra,Paseo Marqués de Zafra nº 24,1
Colegio Público Amós Acero,Calle Rodriguez Espinosa 54,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Angel Nieto,Avenida Las Suertes 109,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Antonio Fontan,Avenida Santuario De Valverde 71,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Antonio Machado,Calle Allariz 3,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Antonio Moreno Rosales,Calle Olmo 4,Jesús y María,Calle Lavapiés nº 34,10
Colegio Público Antonio de Nebrija,Calle Juan Jose Martinez Seco 77,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público Aragón,Avenida Rafael Alberti 2,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Aravaca,Calle Estudio 6,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Público Arcipreste de Hita,Calle Antonio Moreno 25,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Arquitecto Gaudí,Calle Rosa Jardon 10,Pío XII,Avenida Pío XII nº 3,17
Colegio Público Asturias,Calle Asturianos 2,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Ausias March,Calle Estefanita 9,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público Azorín,Calle Godella 57,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público Barcelona,Avenida La Verbena De La Paloma 14,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Blas de Lezo,Calle Fromista 27,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Blas de Otero,Calle Puentelarra 34,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Bolivia,Calle Villavaliente 29,Caramuel,Calle Caramuel nº 51,5
Colegio Público Bravo Murillo,Calle Islas Cies 11,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Público Breogán,Calle Ginzo De Limia 2,Remonta,Calle Azucenas nº 1,12
Colegio Público Calderón de la Barca,Calle Calderon 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Camilo José Cela,Calle Melchor Fernandez Almagro 22,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Capitán Cortés,Calle Monseñor Oscar Romero 17,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Cardenal Herrera Oria,Calle Fermin Caballero 68,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Carlos Sáinz de los Terreros,Calle Cartama 1,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Carlos V,Calle Virgen Del Val 3,Avenida Donostiarra,Calle Virgen de la Alegría nº 18,16
Colegio Público Carmen Cabezuelo,Calle Cangas De Onis 7,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Carmen Laforet,Calle Titanio 16,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Cervantes,Calle Raimundo Fernandez Villaverde 4,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,3
Colegio Público Ciudad Pegaso,Avenida Septima 12,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Ciudad de Badajoz,Calle Fray Jose Cerdeiriña 51,Caramuel,Calle Caramuel nº 51,5
Colegio Público Ciudad de Córdoba,Calle Lillo 1,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Ciudad de Guadalajara,Calle Bergantin 13,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Ciudad de Roma,Calle Juan Esplandiu 2,Parque Roma,Calle Alcalde Sáinz de Baranda frente al nº 107,2
Colegio Público Ciudad de Valencia,Avenida Mediterraneo 91,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Ciudad de Zaragoza,Calle Manuel Aguilar Muñoz 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Ciudad de los Ángeles,Calle La Alegria De La Huerta 6,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Claudio Moyano,Calle Cea Bermudez 26,Parque Santander,Calle Santander esquina con Avenida de Filipinas,3
Colegio Público Complejo Escolar Príncipe Felipe,Avenida Monforte De Lemos 24,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Concepción Arenal,Calle Antonio Lopez 1,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Concha Espina,Calle Gerardo Diego 6,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Conde de Romanones,Calle Elfo 143,C.D. Concepción,Calle Jose del Hierro nº 5,19
Colegio Público Cortes de Cádiz,Avenida Niceto Alcala Zamora 48,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Público Costa Rica,Calle Camarena 247,Caramuel,Calle Caramuel nº 51,5
Colegio Público Cristóbal Colón,Carretera Carabanchel A Villaverde 109,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Cuba,Calle Tembleque 58,Caramuel,Calle Caramuel nº 51,5
Colegio Público Daniel Vázquez Díaz,Calle Armenteros 46,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Público Dionisio Ridruejo,Calle Zipaquira 14,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Doctor Conde Arruga,Calle Hacienda De Pavones 105,Marroquina,Calle Camino de los Vinateros nº 108,16
Colegio Público Doctor Federico Rubio,Avenida Doctor Federico Rubio Y Gali 53,Pablo Iglesias,Calle Francisco Balseiro nº 1,1
Colegio Público Doctor Severo Ochoa,Calle Ezcaray 3,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Doctor Tolosa Latour,Calle Asturianos 4,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Dámaso Alonso,Avenida Espinela 1,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público EEUU - Huarte de San Juan,Paseo Comandante Fortea 71,Paseo de Moret,Paseo de Moret nº 11,13
Colegio Público Eduardo Rojo,Calle Eduardo Rojo 5,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público El Espinillo,Calle Unanimidad 1,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público El Greco,Calle Estefanita 7,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público El Madroño,Calle Las Marismas 14,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Colegio Público El Quijote,Calle Fuentidueña 4,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público El Sol,Avenida Canillejas A Vicalvaro 82,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Emilia Pardo Bazán,Calle Ventorrillo 14,Ribera de Curtidores,Calle Ribera de Curtidores nº 28,9
Colegio Público Ermita del Santo,Paseo Ermita Del Santo 18,Ermita Santo,Paseo de la Ermita del Santo nº 48,5
Colegio Público Escuelas Aguirre,Calle Pio Baroja 4,Pío Baroja,Calle Pío Baroja nº 10,14
Colegio Público Escuelas Bosque,Avenida Santo Angel De La Guarda 4,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Público Esperanza,Calle Andorra 12,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Eugenio María de Hostos,Calle Valdevarnes 26,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Público Felipe II,Avenida Asturias 70,Remonta,Calle Azucenas nº 1,12
Colegio Público Fernando el Católico,Calle Fernando El Catolico 16,Fernando el Católico,Calle Fernando el Católico nº 19,10
Colegio Público Fernández de Moratín,Avenida Valladolid 2,Paseo de Moret,Paseo de Moret nº 11,13
Colegio Público Filósofo Séneca,Calle Santa Adela 21,Pío XII,Avenida Pío XII nº 3,17
Colegio Público Fontarrón,Calle Arroyo Fontarron 24,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Francisco Arranz,Calle Sondica 2,Caramuel,Calle Caramuel nº 51,5
Colegio Público Francisco Fatóu,Camino Suerte 23,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Francisco Ruano,Calle Almuradiel 150,Méndez Álvaro,Calle Retama nº 5,13
Colegio Público Francisco de Goya,Calle Antillon 23,Caramuel,Calle Caramuel nº 51,5
Colegio Público Francisco de Luis,Calle Corregidor Rodrigo Rodriguez 5,Camino Vinateros,Calle Camino de los Vinateros nº 28,16
Colegio Público Francisco de Quevedo,Calle Granada 16,Puerta de Granada,Avenida de Menéndez Pelayo nº 38,7
Colegio Público Fray Junípero Serra,Camino Valderribas 120,Sierra Toledana,Camino de Valderribas nº 94,19
Colegio Público Gabriela Mistral,Calle Mirallos 3,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Público Gandhi,Calle Gandhi 10,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Garcilaso de la Vega,Calle Trefacio 18,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público García Morente,Ronda Sur 229,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Giner de los Ríos,Calle Membezar 25,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Gloria Fuertes,Calle Censo 3,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Gonzalo Fernández de Córdoba,Calle Adanero 3,Caramuel,Calle Caramuel nº 51,5
Colegio Público Gonzalo de Berceo,Avenida Abrantes 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Guindalera,Calle Boston 3,Camilo José Cela,Avenida de Camilo José Cela nº 23,12
Colegio Público Gustavo Adolfo Bécquer,Calle Santa Genoveva 32,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,18
Colegio Público Haití,Calle Guabairo 22,Caramuel,Calle Caramuel nº 51,5
Colegio Público Hermanos Pinzón,Calle Azor 4,Caramuel,Calle Caramuel nº 51,5
Colegio Público Hernán Cortés,Calle Los Yebenes 241,Caramuel,Calle Caramuel nº 51,5
Colegio Público Honduras,Paseo Federico Garcia Lorca 19,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Hortaleza,Calle Valdetorres De Jarama 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Ignacio Zuloaga,Calle Alejandro Rodriguez 34,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Público Infanta Leonor,Calle Monasterio De El Paular 140,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Isaac Albéniz,Calle Dracena 29,Pío XII,Avenida Pío XII nº 3,17
Colegio Público Isaac Peral,Glorieta Rufino Novalvos 5,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Isabel la Católica,Calle Barcelo 2,Barceló,Calle Barceló nº 7,19
Colegio Público Jaime Balmes,Calle Sierra De La Solana 2,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Jaime Vera,Calle Bravo Murillo 162,Estrecho,Calle Navarra nº 1,0
Colegio Público Javier de Miguel,Calle Javier De Miguel 90,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Joaquín Costa,Paseo Pontones 8,Paseo Imperial,Paseo Imperial nº 20,12
Colegio Público Joaquín Dicenta,Paseo Olivos 70,Caramuel,Calle Caramuel nº 51,5
Colegio Público Joaquín Turina,Calle Arturo Soria 332,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Público Jorge Guillén,Avenida El Ferrol 47,Remonta,Calle Azucenas nº 1,12
Colegio Público Jorge Manrique,Plaza Pintor Lucas 17,San Delfín,Calle San Delfín nº 9,17
Colegio Público Josep Tarradellas,Calle Triacastela 1,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Público José Bergamín,Calle Braille 19,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público José Calvo Sotelo,Avenida Ciudad De Barcelona 83,Pedro Bosch,Calle Cerro de la Plata nº 2,10
Colegio Público José María de Pereda,Calle Mestanza 94,Méndez Álvaro,Calle Retama nº 5,13
Colegio Público José Ortega y Gasset,Calle Orense 87,Remonta,Calle Azucenas nº 1,12
Colegio Público José de Echegaray,Calle Puentedey 14,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Jovellanos,Calle Monroy 34,Caramuel,Calle Caramuel nº 51,5
Colegio Público Juan Gris,Calle Muela De San Juan 31,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Juan Ramón Jiménez,Calle Marques De Viana 58,Metro Tetuán,Calle Marqués de Viana nº 3,5
Colegio Público Juan Sebastián Elcano,Calle Mirasierra 29,Antonio López,Calle Eugenio Caxes frente al nº 12,18
Colegio Público Juan Zaragüeta,Calle Via De Los Poblados 19,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Juan de la Cierva,Calle Villarrosa 7,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público Julián Besteiro,Avenida Abrantes 79,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Julián Marías,Calle Budapest 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público La Alameda,Calle Musas 9,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público La Dehesa del Príncipe,Paseo Lanceros 4,Caramuel,Calle Caramuel nº 51,5
Colegio Público La Latina,Calle Maqueda 130,Caramuel,Calle Caramuel nº 51,5
Colegio Público La Rioja,Calle Leon Felipe 3,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Legado Crespo,Paseo Acacias 2,Embajadores 1,Glorieta de Embajadores nº 6,10
Colegio Público Leopoldo Alas,Calle Pedrezuela 18,Marqués de Corbera 52,Avenida Marqués de Corbera nº 52,18
Colegio Público Leopoldo Calvo Sotelo,Calle Castiello De Jaca 2,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Público Lepanto,Calle Valderrey 9,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Público Lope de Vega,Calle Inglaterra 8,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Lorenzo Luzuriaga,Calle Valencia De Don Juan 13,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Los Almendros,Calle Ladera De Los Almendros 45,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Los Rosales,Avenida Los Rosales 131,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público Loyola de Palacio,Calle Embalse De Navacerrada 60,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Luis Bello,Calle Luis Cabrera 66,Prosperidad,Calle Suero de Quiñones nº 2,8
Colegio Público Luis Cernuda,Calle Carril Del Conde 64,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Luis de Góngora,Calle Sarria 49,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Público Madrid Sur,Calle Puerto De Balbaran 133,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Maestro Padilla,Avenida Peseta 112,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Público Manuel Bartolomé Cossío,Calle Jose De Cadalso 19,Caramuel,Calle Caramuel nº 51,5
Colegio Público Manuel Núñez de Arenas,Calle Martos 120,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Manuel Sáinz de Vicuña,Calle Camino De Los Vinateros 104,Marroquina,Calle Camino de los Vinateros nº 108,16
Colegio Público Manuel de Falla,Calle Jose Ortu&Amp;Ntilde;O Ponce 2,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Marcelo Usera,Calle Perales De Tajuña 1,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Margaret Thatcher,Glorieta Playa De San Lorenzo 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Mariano José de Larra,Calle Longares 11,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Marqués de Marcenado,Calle Linneo 31,Paseo Imperial,Paseo Imperial nº 20,12
Colegio Público Marqués de Suanzes,Avenida Veinticinco De Septiembre 1,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Martínez Montañés,Calle Hacienda De Pavones 223,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público María Moliner,Calle Arcos De Jalon 34,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público María de Villota,Calle Ca&Amp;Ntilde;Ada Del Santisimo 23,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Menéndez Pelayo,Calle Mendez Alvaro 16,Atocha B,Paseo de la Infanta Isabel nº 3,23
Colegio Público Menéndez Pidal,Calle Encomienda De Palacios 85,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Meseta de Orcasitas,Calle Camino Viejo De Villaverde 1,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Mesonero Romanos,Calle Pont De Molins 31,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Miguel Blasco Vilatela,Calle Hermanos Garcia Noblejas 70,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Miguel Servet,Calle Fragata 33,Caramuel,Calle Caramuel nº 51,5
Colegio Público Miguel de Unamuno,Calle Alicante 5,Beata,Calle Alicante nº 3,12
Colegio Público Mirasierra,Calle La Maso 22,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Público Monte de El Pardo,Avenida Guardia 19,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Público Méjico (México),Avenida Badajoz 74,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Méndez Núñez,Calle Alicun 9,Chamartín,Calle Rodríguez Jaén nº 40,7
Colegio Público Navas de Tolosa,Calle Benimamet 109,Embajadores 191,Calle Sodio nº 1B,11
Colegio Público Nuestra Señora de la Almudena,Calle Lope De Rueda 48,Retiro-Ibiza,Calle Ibiza nº 18,10
Colegio Público Nuestra Señora de la Concepción,Calle Virgen Del Sagrario 24,C.D. Concepción,Calle Jose del Hierro nº 5,19
Colegio Público Nuestra Señora de la Fuencisla,Calle Tomelloso 39,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Nuestra Señora de la Luz,Calle Magnesia 9,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Público Nuestra Señora de la Paloma,Calle Tabernillas 2,Plaza de los Carros,Carrera de San Francisco nº 1,12
Colegio Público Nuestra Señora del Lucero,Calle Muñico 1,Caramuel,Calle Caramuel nº 51,5
Colegio Público Nuria Espert,Calle Maria Reiche 34,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Pablo Picasso,Calle Angel Luis De La Herran 35,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Público Padre Coloma,Calle Gutierrez Canales 19,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Público Padre Mariana,Ronda Sur 145,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Padre Poveda,Avenida Alfonso Xiii 23,Corazón de María,Calle Santa Hortensia nº 31,5
Colegio Público Palacio Valdés,Paseo Prado 38,Almadén,Calle Almadén nº 28,15
Colegio Público Palomeras Bajas,Calle Felipe De Diego 6,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Público Parque Aluche,Calle Quero 47,Caramuel,Calle Caramuel nº 51,5
Colegio Público Parque Eugenia de Montijo,Calle Parque Eugenia De Montijo 28,Caramuel,Calle Caramuel nº 51,5
Colegio Público Pasamonte,Avenida Doctor Garcia Tapia 47,Marroquina,Calle Camino de los Vinateros nº 108,16
Colegio Público Patriarca Obispo Eijo y Garay,Calle Lopez De Hoyos 40,Velázquez 130,Calle Velázquez nº 130,4
Colegio Público Pedro Duque,Calle Marmolina 5,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Público Perú,Calle Baleares 18,San Delfín,Calle San Delfín nº 9,17
Colegio Público Pi I Margall,Plaza Dos De Mayo 2,San Andrés,Calle San Andrés nº 18,16
Colegio Público Pinar de San José,Calle Patrimonio De La Humanidad 39,Caramuel,Calle Caramuel nº 51,5
Colegio Público Pinar del Rey,Avenida San Luis 23,Pío XII,Avenida Pío XII nº 3,17
Colegio Público Pintor Rosales,Calle Principe De Vergara 139,María Francisca 1,Calle María Francisca nº 1,3
